review,clean_review,label
It's a fantastic movie.,fantastic movie,1.0
Best movie of all time,best movie time,1.0
One of the all time bests!,one time bests,1.0
Hopes are dangerous? No! Hopes is a good thing or may be best of best things,hopes dangerous hopes good thing may best best things,1.0
The Best Movie Ever Made !?,best movie ever made,1.0
The Greatest Movie of all Time !!,greatest movie time,1.0
A Truly Great Movie,truly great movie,1.0
The Best Stephen King Adapation.,best stephen king adapation,1.0
This is simply one of the best movies ever with superb acting,simply one best movies ever superb acting,1.0
Bad are bad and the good guys are good. The end.,bad bad good guys good end,0.0
One of the BEST films ever made!!,one best films ever made,1.0
Simply the Greatest Movie of All Time,simply greatest movie time,1.0
Not the best movie but it is what it is,best movie,1.0
"Not bad, but old",bad old,0.0
Everyone say it's the best film but it really is one of the best film!,everyone say best film really one best film,1.0
"Amazing, simply amazing",amazing simply amazing,1.0
"Too long, too boring, too obvious, too King's, bah...",long boring obvious kings bah,0.0
Brain burning and great scenario,brain burning great scenario,1.0
Quite simply the greatest movie ever made!,quite simply greatest movie ever made,1.0
Greatest movie All-time,greatest movie alltime,1.0
One of the best I've seen so far,one best ive seen far,1.0
Amongst the greatest films ever made....PERIOD,amongst greatest films ever madeperiod,1.0
One of the ALL TIME best Movies,one time best movies,1.0
Great Adaptation,great adaptation,1.0
Best Movie I have ever seen,best movie ever seen,1.0
This movie is fantastic,movie fantastic,1.0
the best i've ever watched,best ive ever watched,1.0
Simply the BEST !,simply best,1.0
Best of all time?,best time,1.0
One of the greatest movies ever made!,one greatest movies ever made,1.0
GOOD BUT NOT GREAT,good great,1.0
One of the most amazing movies I have ever seen.,one amazing movies ever seen,1.0
Massively overhyped but brilliant nonetheless,massively overhyped brilliant nonetheless,1.0
its great movie but its not the best,great movie best,1.0
BEST MOVIE FOREVER !,best movie forever,1.0
How Great is this film?,great film,1.0
The greatest movie ever made.,greatest movie ever made,1.0
Pretty damn fantastic,pretty damn fantastic,1.0
great but not no.1,great,1.0
well this has to be one of the best,well one best,1.0
Best movie ever I have seen.,best movie ever seen,1.0
Best film ever made?,best film ever made,1.0
Best movie ever watched,best movie ever watched,1.0
Why is this the best movie ever for everyone?,best movie ever everyone,1.0
"Yes it is a great film, but does it deserve to be number one?",yes great film deserve number one,1.0
A Fantastic film. But definitely not #1,fantastic film definitely,1.0
Best Movie I've Ever Seen,best movie ive ever seen,1.0
"Overrated, long and boring",overrated long boring,0.0
Best Loving Ever,best loving ever,1.0
"yes, a truly great, under-appreciated film. But ranked #1???",yes truly great underappreciated film ranked,1.0
"Brilliant, brilliant film",brilliant brilliant film,1.0
A wonderful creation,wonderful creation,1.0
The best movie I have seen so far,best movie seen far,1.0
"Good but not ""The Best of All"" - OVERRATED but Must-Watch",good best overrated mustwatch,1.0
Best Prison Movie,best prison movie,1.0
One of the best ever,one best ever,1.0
GREAT ESCAPE MOVIES FROM PRISON,great escape movies prison,1.0
"""Remember Red, hope is a good thing, maybe the best of things, and no good thing ever dies.""",remember red hope good thing maybe best things good thing ever dies,1.0
"Poor, Boring, Painful, Long, Slow....and all the other words which defines a bad movie",poor boring painful long slowand words defines bad movie,0.0
NOT THE BEST MOVIE OF ALL TIME FOR SURE,best movie time sure,1.0
The best movie ever seen,best movie ever seen,1.0
GREATEST OF ALL TIME!,greatest time,1.0
"Unnecessarily long, but still excellent.",unnecessarily long still excellent,1.0
very fantastic movie,fantastic movie,1.0
A great piece of art ...,great piece art,1.0
Definitely one of the Greatest Movies Ever.....,definitely one greatest movies ever,1.0
Great film but #1 ranked on imdb?? No way...,great film ranked imdb way,1.0
Happens to be the best movie I have ever come across,happens best movie ever come across,1.0
Perhaps best movie,perhaps best movie,1.0
The best movie i have ever seen!! They just don't make movies like this anymore!!,best movie ever seen dont make movies like anymore,1.0
May be the best film ever made.,may best film ever made,1.0
overall great movie,overall great movie,1.0
"Shawshank, Best Movie so far",shawshank best movie far,1.0
Slow but wonderful,slow wonderful,1.0
A great movie for those who are learning to make movies,great movie learning make movies,1.0
Great movie i have seen,great movie seen,1.0
best movie all of time,best movie time,1.0
Fantastic storytelling. A modern movie classic.,fantastic storytelling modern movie classic,1.0
An all time best,time best,1.0
Simply the best!!!,simply best,1.0
One of the best Jail Break Movies Ever,one best jail break movies ever,1.0
It Gives Us The Best Of Things : Hope,gives us best things hope,1.0
Tied for the best movie I have ever seen,tied best movie ever seen,1.0
Brilliant and Moving:,brilliant moving,1.0
One of the best movie i have watched!!!,one best movie watched,1.0
One of the best Movie,one best movie,1.0
Best Movie of all times,best movie times,1.0
The Greatest Film of All Time.,greatest film time,1.0
wild animals are best left in nature and babies with their mothers,wild animals best left nature babies mothers,1.0
best ending? (spoiler),best ending spoiler,1.0
One of the best movies - the unexpected happens all the time,one best movies unexpected happens time,1.0
